ticker,date,close,rsi,adx,rvol,macd_diff,above_sma50,above_sma200,above_ema20,above_vwap,apex_signal,apex_conf,hfm_signal,hfm_conf,stockai_signal,stockai_conf,quant_signal,quant_conf,ensemble_signal,super_score,is_supreme,fwd_5d_return,fwd_5d_max_return,hit_target,went_down
RELIANCE.NS,2026-01-09 00:00:00,1475.300048828125,34.19686697184699,21.44395287529162,0.9020310053012608,-12.237510675708819,0,1,0,0,SELL,0.3,SELL,0.7,WAIT,0.35,WAIT,0.5,SELL,-0.175,False,-0.011794227505031118,0.007117196266847925,False,False
RELIANCE.NS,2026-01-12 00:00:00,1483.199951171875,36.82632243442313,22.589587884027072,0.9421267753333207,-12.104419122041532,0,1,0,0,SELL,0.3,SELL,0.7,WAIT,0.35,WAIT,0.5,SELL,-0.175,False,-0.04692555142747046,0.0017530324580954382,False,True
RELIANCE.NS,2026-01-13 00:00:00,1452.800048828125,31.59436680246013,23.806527400607305,1.3753205445265904,-13.334689761202808,0,1,0,0,SELL,0.5,SELL,0.7,WAIT,0.4,WAIT,0.5,SELL,-0.20999999999999996,False,-0.04047360053130156,0.01872243272143015,False,True
RELIANCE.NS,2026-01-14 00:00:00,1458.800048828125,33.599489103635065,25.047375141586894,0.8627868344740993,-13.001647404217918,0,1,0,0,SELL,0.3,SELL,0.7,WAIT,0.4,WAIT,0.5,SELL,-0.175,False,-0.03715387402524917,0.014532458501701706,False,True
RELIANCE.NS,2026-01-15 00:00:00,1458.800048828125,33.599489103635065,26.199590901067943,0.0,-12.05948197684247,0,1,0,0,SELL,0.3,SELL,0.7,WAIT,0.4,WAIT,0.5,SELL,-0.175,False,-0.038593396588759155,0.014532458501701706,False,True
RELIANCE.NS,2026-01-16 00:00:00,1457.9000244140625,33.42902024441645,26.02780770801195,1.748415119639252,-10.814871334855631,0,1,0,0,SELL,0.5,SELL,0.7,WAIT,0.5,WAIT,0.5,SELL,-0.20999999999999996,False,-0.04924895234635984,-0.005007235548307842,False,True
RELIANCE.NS,2026-01-19 00:00:00,1413.5999755859375,26.344159400125122,27.200348931499175,2.010828693174903,-12.19097732650161,0,0,0,0,SELL,0.5,SELL,0.7,WAIT,0.3,WAIT,0.375,SELL,-0.20999999999999996,False,-0.023415376455575787,0.004173758146548412,False,False
RELIANCE.NS,2026-01-20 00:00:00,1394.0,23.927876180462974,28.549695404836672,1.2815658388432196,-13.533473308651331,0,0,0,0,SELL,0.5,SELL,0.7,SELL,0.2,WAIT,0.375,SELL,-0.24499999999999997,False,0.001936837282550119,0.018292682926829285,False,False
RELIANCE.NS,2026-01-21 00:00:00,1404.5999755859375,27.785517237727632,30.111635403742593,1.609115248528791,-12.826391475821964,0,0,0,0,SELL,0.5,SELL,0.7,WAIT,0.3,WAIT,0.375,SELL,-0.20999999999999996,False,-0.009682454664905027,0.010608019844117411,False,False
RELIANCE.NS,2026-01-22 00:00:00,1402.5,27.488121052908596,31.213263186105785,1.4126385394106915,-11.652987647260282,0,0,0,0,SELL,0.5,SELL,0.7,SELL,0.25,WAIT,0.375,SELL,-0.25375,False,-0.00506237118426911,0.005276309742647145,False,False
RELIANCE.NS,2026-01-23 00:00:00,1386.0999755859375,25.21803134591812,32.50476196072453,0.855042749130232,-11.13485018626708,0,0,0,0,SELL,0.3,SELL,0.7,SELL,0.2,WAIT,0.375,SELL,-0.21,False,0.0031022645580145447,0.017170513849886104,False,False
RELIANCE.NS,2026-01-27 00:00:00,1380.5,24.47476774267311,33.937885927882945,2.100471249705557,-10.339970150483104,0,0,0,0,SELL,0.5,SELL,0.7,WAIT,0.35,WAIT,0.375,SELL,-0.20999999999999996,False,0.040999620127444736,0.07895689967403108,True,False
RELIANCE.NS,2026-01-28 00:00:00,1396.699951171875,30.826386257778168,34.29695894956863,0.8800569255023556,-7.998514874553933,0,0,0,0,SELL,0.3,SELL,0.7,SELL,0.25,WAIT,0.5,SELL,-0.21875,False,0.04303007070761633,0.06644236562782346,True,False
RELIANCE.NS,2026-01-29 00:00:00,1391.0,29.874393707543078,34.650875730379056,1.5567482360160156,-6.189809526959536,0,0,0,0,SELL,0.5,SELL,0.7,WAIT,0.3,WAIT,0.375,SELL,-0.20999999999999996,False,0.03767075802592568,0.07081236520488865,True,False
RELIANCE.NS,2026-01-30 00:00:00,1395.4000244140625,31.629676924446215,35.10970863210435,0.8244726226362531,-4.151172161937339,0,0,0,0,SELL,0.3,SELL,0.7,SELL,0.25,WAIT,0.5,SELL,-0.21875,False,0.03970189439929617,0.06743584200914055,True,False
RELIANCE.NS,2026-02-02 00:00:00,1390.4000244140625,30.689604183116472,36.38462565948449,1.1152000047188415,-2.665712839159376,0,0,0,0,SELL,0.5,SELL,0.7,WAIT,0.3,WAIT,0.5,SELL,-0.20999999999999996,False,0.05120824936829238,0.07127443458417648,True,False
RELIANCE.NS,2026-02-03 00:00:00,1437.0999755859375,46.641192270853935,33.98571586486641,1.7055188214405443,1.7006007733292705,0,0,1,1,WAIT,0.0,WAIT,0.5,WAIT,0.6,BUY,0.75,WAIT,0.13124999999999998,False,0.014891117373610152,0.023589190028509233,False,False
RELIANCE.NS,2026-02-04 00:00:00,1456.800048828125,51.691998593367224,31.7581567698639,0.5964528620833518,5.916743522635365,0,1,1,1,WAIT,0.0,WAIT,0.5,WAIT,0.7,BUY,0.75,WAIT,0.13124999999999998,False,0.008168521378978832,0.009747357699018355,False,False
RELIANCE.NS,2026-02-05 00:00:00,1443.4000244140625,48.340145442148206,29.71150891106662,0.8402737247663898,7.691888554546978,0,0,1,1,WAIT,0.0,WAIT,0.5,WAIT,0.45,BUY,0.75,WAIT,0.13124999999999998,False,0.003810447489934532,0.020507118667919766,False,False
RELIANCE.NS,2026-02-06 00:00:00,1450.800048828125,50.25834648975903,27.98222173933113,0.60917517549619,9.15388662489843,0,1,1,1,WAIT,0.0,WAIT,0.5,WAIT,0.65,BUY,0.75,WAIT,0.13124999999999998,False,-0.02150542610429962,0.015301868227676874,False,False
RELIANCE.NS,2026-02-09 00:00:00,1461.5999755859375,53.00118473345419,26.004666243709586,0.42912115003847695,10.53908015725085,0,1,1,1,WAIT,0.0,WAIT,0.5,WAIT,0.65,BUY,0.75,WAIT,0.13124999999999998,False,-0.01676245238727392,0.007799688426713525,False,False
RELIANCE.NS,2026-02-10 00:00:00,1458.5,52.11290971656866,24.328758148184864,0.7583690269027551,10.892439968860256,0,1,1,1,WAIT,0.0,WAIT,0.5,WAIT,0.6,BUY,0.75,WAIT,0.06562499999999999,False,-0.02434007541995198,0.009941720946177623,False,False
RELIANCE.NS,2026-02-11 00:00:00,1468.699951171875,54.79732970348068,22.77255777376905,0.5380369442530857,11.404486869651304,0,1,1,1,BUY,0.5,WAIT,0.5,WAIT,0.6,BUY,0.75,WAIT,0.10937499999999999,False,-0.01865588837385579,0.002927792586017386,False,False
RELIANCE.NS,2026-02-12 00:00:00,1448.9000244140625,49.049347400704875,21.256127573912714,0.8341383241308301,10.048638162250665,0,1,1,1,WAIT,0.0,WAIT,0.5,WAIT,0.6,BUY,0.75,WAIT,0.06562499999999999,False,-0.02719305938999894,0.0012422711902020378,False,False
RELIANCE.NS,2026-02-13 00:00:00,1419.5999755859375,42.02434574055235,20.78988932831422,0.7744947118452878,6.963926028950308,0,0,0,1,WAIT,0.0,WAIT,0.5,WAIT,0.3,WAIT,0.625,WAIT,0.0,False,-0.00014085036299926745,0.01648353396484392,False,False
RELIANCE.NS,2026-02-16 00:00:00,1437.0999755859375,46.914715888187104,20.560510565928098,0.442553796005085,5.928099087905181,0,0,0,1,WAIT,0.0,WAIT,0.5,WAIT,0.3,BUY,0.75,WAIT,0.06562499999999999,False,-0.006332179904343316,0.00410550728153547,False,False
RELIANCE.NS,2026-02-17 00:00:00,1423.0,43.715136382470185,20.347516000855272,0.8357460374599709,4.200625496193641,0,0,0,1,WAIT,0.0,WAIT,0.5,WAIT,0.3,BUY,0.75,WAIT,0.06562499999999999,False,0.004075930307888331,0.014054813773717534,False,False
RELIANCE.NS,2026-02-18 00:00:00,1441.300048828125,48.61350416571195,19.69659912292436,0.44319956846068825,4.188317993994671,0,0,1,1,WAIT,0.0,WAIT,0.5,WAIT,0.35,BUY,0.75,WAIT,0.0,False,-0.0296954467343038,0.0011794568197351918,False,False
RELIANCE.NS,2026-02-19 00:00:00,1409.5,41.80504699766717,19.711806016840285,0.9754355726123402,2.044871334639243,0,0,0,0,WAIT,0.0,SELL,0.7,SELL,0.25,WAIT,0.625,SELL,-0.16624999999999998,False,-0.0019155382560305245,0.02199361475700612,False,False
RELIANCE.NS,2026-02-20 00:00:00,1419.4000244140625,44.41505664224967,19.72592670404793,0.6926263967666475,1.3345715343009399,0,0,0,0,WAIT,0.0,SELL,0.7,SELL,0.25,WAIT,0.625,SELL,-0.16624999999999998,False,-0.017965337157526462,0.014865418643801753,False,False
RELIANCE.NS,2026-02-23 00:00:00,1428.0,46.653313263302714,19.375911738230794,0.6629909987966178,1.4737676722317623,0,0,0,1,WAIT,0.0,WAIT,0.5,SELL,0.25,BUY,0.75,WAIT,0.0,False,-0.0490196078431373,0.008753501400560193,False,True
RELIANCE.NS,2026-02-24 00:00:00,1428.800048828125,46.867659378622136,19.17071495319295,1.137573011594958,1.636982396967463,0,0,0,1,WAIT,0.0,WAIT,0.5,WAIT,0.3,WAIT,0.625,WAIT,0.0,False,-0.05865064807133524,0.008188655355569896,False,True
