Ticker,Final Score,Action,Close Price,Stop Loss,Target,Fund Score,Tech Score,Sent Score,Intraday VWAP,Headlines
KTKBANK.BO,5.5,WATCH,211.9,197.83,240.04,2.5,7.5,0,False,[]
SUZLON.BO,5.25,WATCH,53.43,50.92,58.45,10.0,2.5,0,False,[]
SCI.BO,5.0,WAIT,229.3,208.92,270.07,5.0,5.0,0,False,[]
JINDALSAW.BO,5.0,WAIT,163.85,154.82,181.92,5.0,5.0,0,False,[]
BANKINDIA.BO,5.0,WAIT,145.75,139.37,158.52,5.0,5.0,0,False,[]
BHARTIARTL.BO,5.0,WAIT,2101.85,2031.22,2243.11,5.0,5.0,0,False,[]
GODREJCP.BO,5.0,WAIT,1131.75,1084.71,1225.84,5.0,5.0,0,False,[]
TATASTEEL.BO,5.0,WAIT,167.75,161.17,180.9,5.0,5.0,0,False,[]
ZEEL.BO,5.0,WAIT,97.6,92.63,107.55,5.0,5.0,0,False,[]
ONGC.BO,5.0,WAIT,243.4,235.52,259.16,5.0,5.0,0,False,[]
IFCI.BO,5.0,WAIT,50.95,47.9,57.04,5.0,5.0,0,False,[]
ABCAPITAL.BO,4.75,WAIT,355.8,340.75,385.9,0.0,7.5,0,False,[]
TATAPOWER.BO,4.75,WAIT,388.35,374.91,415.23,0.0,7.5,0,False,[]
ASHOKA.BO,4.5,WAIT,169.7,156.89,195.31,7.5,2.5,0,False,[]
ITC.BO,4.5,WAIT,401.05,391.43,420.29,7.5,2.5,0,False,[]
LICHSGFIN.BO,4.5,WAIT,554.5,538.4,586.71,7.5,2.5,0,False,[]
POWERGRID.BO,4.5,WAIT,267.45,258.81,284.72,7.5,2.5,0,False,[]
CGPOWER.BO,4.5,WAIT,659.4,629.27,719.66,7.5,2.5,0,False,[]
PFC.BO,4.5,WAIT,360.3,346.82,387.26,7.5,2.5,0,False,[]
RBLBANK.BO,4.25,WAIT,302.0,286.5,333.0,2.5,5.0,0,False,[]
HDFCBANK.BO,4.25,WAIT,990.0,960.21,1049.58,2.5,5.0,0,False,[]
JSWENERGY.BO,4.25,WAIT,484.3,461.37,530.17,2.5,5.0,0,False,[]
BANDHANBNK.BO,4.25,WAIT,149.75,143.3,162.66,2.5,5.0,0,False,[]
ABFRL.BO,4.25,WAIT,77.06,72.92,85.33,2.5,5.0,0,False,[]
EDELWEISS.BO,4.25,WAIT,110.85,103.15,126.24,2.5,5.0,0,False,[]
HDFCLIFE.BO,4.25,WAIT,759.1,731.96,813.37,2.5,5.0,0,False,[]
MRPL.BO,4.25,WAIT,158.8,144.96,186.47,2.5,5.0,0,False,[]
NHPC.BO,4.25,WAIT,77.27,74.31,83.18,2.5,5.0,0,False,[]
IRCON.BO,3.75,WAIT,157.9,150.23,173.23,5.0,2.5,0,False,[]
TATAMOTORS.BO,3.75,WAIT,361.6,340.35,404.1,5.0,2.5,0,False,[]
ORIENTELEC.BO,3.75,WAIT,187.3,166.04,229.82,5.0,2.5,0,False,[]
INOXWIND.BO,3.75,WAIT,133.45,125.53,149.29,5.0,2.5,0,False,[]
SPARC.BO,3.5,WAIT,161.1,149.73,183.84,0.0,5.0,0,False,[]
ADANIGREEN.BO,3.5,WAIT,1022.65,958.38,1151.2,0.0,5.0,0,False,[]
HFCL.BO,3.0,WAIT,70.69,66.54,78.98,2.5,2.5,0,False,[]
WHIRLPOOL.BO,3.0,WAIT,1010.4,909.5,1212.21,2.5,2.5,0,False,[]
MMTC.BO,3.0,WAIT,59.3,55.8,66.3,2.5,2.5,0,False,[]
RKFORGE.BO,3.0,WAIT,522.15,487.64,591.16,2.5,2.5,0,False,[]
NCC.BO,2.5,WAIT,172.35,163.6,189.85,5.0,0.0,0,False,[]
KNRCON.BO,2.5,WAIT,158.85,150.45,175.65,5.0,0.0,0,False,[]
SJVN.BO,1.75,WAIT,77.37,74.48,83.14,2.5,0.0,0,False,[]
TATACHEM.BO,1.75,WAIT,789.8,757.29,854.82,2.5,0.0,0,False,[]
